type,term,code_description,percentage_of_type,description,quotes
Human and Environmental Changes,Wildlife,16% of coded references to human-environmental changes in interviews,16%,"Stakeholders observe many changes in wildlife, including seeing signs of beaver activity in riparian areas; the reduction in anadromous fish in Big Creek; and the reduction in charismatic megafauna in the drainage, such as elk, bighorn sheep, and moose.",
Values of Human and Environmental Changes,Sense of Place,11% of coded references to values of human-environmental change,11%,,"""But see that's dense. That's dense forest. This isn't. So when you talk about sense of place, I mean, you can see how much it was deforested and if I'd have let it, that would've destroyed my sense of place. So what I had to do is look down. I couldn't look and mourn that. I just had to look for regrowth and I'd see signs of seedlings and we'd see more bugs in the water and stuff like that. And just by starting to look down close at the land, you didn't get as overwhelmed with the change and the loss of forest."""
Values of Human and Environmental Changes,Backcountry Community,5% of coded references to values of human-environmental change,5%,,"“And see, when your [Forest Service] went in there, they were really helpful, good people, and they had their own stock… They didn't have government stock. And so, they were just like the rest of us. But then, as it kind of progressed and of course, all of that changed along with everything else, why then, all of a sudden it was their forest and we were whatever, squatters. And so, then stuff really changed. But before, they would do anything for Forest Service people.” | ""They close that road, people couldn't access their mining claims and different things, and whether they could have actually mined them or not, I don't know. But there are people living there in the summers, definitely, all up and down from there all the way down to the mouth of Crooked Creek, even going up Crooked Creek. I mean, that's all changed. There's no one, obviously-- now, there's no cabins, even, left."""
Values of Human and Environmental Changes,Cultural History,7% of coded references to values of human-environmental change,7%,,"""It is interesting because I think a lot of people have this notion of wilderness and this is a common thing you read about in essays. That humans are removed from the landscape and wilderness and it's a place where we shall not remain, untrammeled land. But in fact, they've always been a part of the landscape. Humans have been a part of the landscape for-- you can go back way back thousands of years, thousands and thousands and thousands of years."""
Values of Human and Environmental Changes,Historical Preservation,4% of coded references to values of human-environmental change,4%,,"“…a lot of times the historic preservation really depends on who you have working at the Forest Service... a lot of the historic structures on Big Creek have disappeared. And that's because people that have been managing it don't believe that they are a part of the wilderness. And I come from more of the perspective of you can't just erase all history. We as humans are as important to the landscape as anything else. And so you should at least… have made more of an effort to save examples.” | ""And so there were a lot of historic structures and non-historic structures - modern trucks, all kinds of things - along that whole corridor. And once the wilderness was designated, all of those things had to be evaluated one-by-one and assessed whether or not they should be kept. And the decisions that were made over time about what's valuable and what should be kept and what shouldn't be kept changes with new people in management - not necessarily because of personality changes, but also the time. It's hard for people -- there was a lot of removal just across the forest of historic structures in the '50s that were built turn of the century that today would just be phenomenal craftsmanship. We would never dream of removing those things. But in the '50s, they were a dime a dozen. And so you can't necessarily judge the acts when to them, they might have only been 50 years old, those structures. And they just didn't recognize what the value would be for people today."""
Values of Human and Environmental Changes,Application of Historical Practices,4% of coded references to values of human-environmental change,4%,,
Values of Human and Environmental Changes,Wilderness Dependent Activities,2% of coded references to values of human-environmental change,2%,,
Values of Human and Environmental Changes,Access to Wilderness,1% of coded references to values of human-environmental change,1%,,
Values of Human and Environmental Changes,Accessibility,3% of coded references to values of human-environmental change,3%,,
Values of Human and Environmental Changes,Legal Rights of Inholdings,1% of coded references to values of human-environmental change,1%,,
Values of Human and Environmental Changes,Native American Presence,1% of coded references to values of human-environmental change,1%,,
Values of Human and Environmental Changes,Native American Cultural Practices,1% of coded references to values of human-environmental change,1%,,
Values of Human and Environmental Changes,Anthropocentric Management,2% of coded references to values of human-environmental change,2%,,"“There is no natural fire. This natural is bullshit. So let's back up and say, ‘Hey, it's natural that God gave us a brain to take care of our environment.’” | ""So which is worse? Having the forest fires and all of the increased regulation that keeps us from actually managing the land and resources, or would we be better off just having roads and dealing with the people in the back there? It's really sad that you can't have both. Yeah, it's really sad that you can't. But we can't manage the land and the resources because now it's a wilderness."" | ""[T]hey suppressed fire forever and maybe that wasn't the right thing to do. But then you can't come along and burn everything in the last 40 years. I mean, well, since '79 they have burned over two-thirds of Frank Church Wilderness. You go look at maps. I'm not kidding you. And I say the burn it because it's 'wilderness' and here's how we're going to manage it. We're going to let [inaudible] natural fires burn. I'm sorry, dear. A natural fire is in an environment that's never been touched by man. Never been manipulated by man."""
Values of Human and Environmental Changes,Adaptable Wilderness Management,3% of coded references to values of human-environmental change,3%,,
Values of Human and Environmental Changes,Trust and Honesty,1% of coded references to values of human-environmental change,1%,,
Values of Human and Environmental Changes,Nostalgia and the Environment,3% of coded references to values of human-environmental change,3%,,
Values of Human and Environmental Changes,Beauty Associated with Lush Vegetation,3% of coded references to values of human-environmental change,3%,,"“The problem with it burning is natural beauty-- a lot of people, they just don't desire to go into an area that's been burned... And so a lot of the country, I mean it just looked like wasteland. If you're not used to seeing burns and you go in there after a burn, everything's black and kind of ugly.” | ""And then, you start thinking back in 10 years before, when you had these beautiful Doug-fir ridgelines that you could just walk along with your horse and kind of-- it was just gorgeous and big majestic trees. And now, it just looks like a moonscape with these, like pick up sticks just dumped everywhere."""
Values of Human and Environmental Changes,Wilderness Act Protections,4% of coded references to values of human-environmental change,4%,,"""The fact that Frank Church had the foresight back in the day to realize that the world is being consumed at a really rapid rate, and to be able to set aside this giant chunk of Idaho wilderness. I mean, the reason why we have cold clean water in the Salmon River is thanks to him. You know what I mean? Thanks to putting things off-limits from mining, from logging, from just the consumption of the human species."" | ""And then I guess a lot of its looked at it like, 'Well, it's hopefully some level of protection.' And it's approved by congress that keeps it from being developed. So a place where people, that like I was able to experience. When I went there, you could maybe 50 years, 100 years from now hopefully go there and get on your horse and ride for 50 miles without running into another community."" | "" I think people that are into wilderness areas realize that there has to be compromise in it for it to exist because you can't have a wheelbarrow on an airstrip, but you can have an airplane. There's all these kind of things that contradict each other, but aren't we lucky that we have wilderness in an ever-increasing population, particularly in the West and with more people wanting to use it? I think wilderness even more so is important."""
Values of Human and Environmental Changes,Wild Quality,9% of coded references to values of human-environmental change,9%,,"“Glad that's not there anymore. Terrible. There'd be so many structures along Big Creek if they weren't all burned down. It's kind of crazy.” | ""So I think, in general, the hope for wilderness is a need for some rejuvenation, and while I lament the people that went in and burned down the historic cabins, I support their ethic, their values, and their desire to have kept it a hike-in, ride horses in kind of a setting..."" | ""Well, I think my greatest, not exactly, joy is not the word maybe but, it's the fact that I kept it wild. And that's not as easy as you might think. By golly, there's all kinds of propositions after you all the time there. And I think I kept fairly wild there in my 27 years on there."""
Values of Human and Environmental Changes,Wilderness Ethic and Value,2% of coded references to values of human-environmental change,2%,,
Values of Human and Environmental Changes,Wilderness Stewardship,1% of coded references to values of human-environmental change,1%,,
Values of Human and Environmental Changes,Mitigating Negative Impacts,3% of coded references to values of human-environmental change,3%,,
Values of Human and Environmental Changes,Research in Wilderness,2% of coded references to values of human-environmental change,2%,,
Values of Human and Environmental Changes,Ecocentric Management,1% of coded references to values of human-environmental change,1%,,"""Probably one of the best things about Big Creek in my mind is that there's a natural predator guild which is-- at least it's close without-- there's isn’t a whole lot of elk or—sorry, wolves harvesting, and there hasn't been any cougars pulled out of here in about nine years, according to Fish and Game. So I think that's-- we're probably seeing something that's pretty natural right now that probably existed in here before humans messed it up, or at least close to when they came in, I think."" | ""And then, so because the wilderness has a let it burn policy, you see this natural landscape in this succession happening. And I really like to see that…"""
Values of Human and Environmental Changes,Ecosystem Health,3% of coded references to values of human-environmental change,3%,,
Values of Human and Environmental Changes,Fire as an Ecosystem Service,2% of coded references to values of human-environmental change,2%,,"""And everyone just assumed the fires had destroyed the fisheries. But it actually changed the net productivity of the land."" | ""...when you get closer down to the actual river, the riparian zones, you see really nice, big Doug-fir that obviously have survived lots of forest fires and you see lots of beautiful Ponderosas that have obviously survived forest fires. You see areas where those are burned out and perhaps they were never meant to get that dense and the ladder fuels were there and so it burned out the trees. So, it goes to show you that fire is a very important part of that ecosystem occurring frequently."""
Values of Human and Environmental Changes,Natural Change,4% of coded references to values of human-environmental change,4%,,
Values of Human and Environmental Changes,Succession,3% of coded references to values of human-environmental change,3%,,"""So the vegetation's starting to come back. And natural fire on the landscape is really cool because that's what you see, you see that succession. And succession's really cool because it goes back to the idea about how tribes are using fire to open up landscapes to then have these places in particular when you're leaving seeds, or traveling with seed, or making seeds possible for them to then take hold and take root on the ground. But then, if they don't have sunlight, of course, that's the other part. As we know, a good plant growth is sunlight. Fire - once it moves across the landscape - takes out the whole upper canopy. And so all these little plants-- it looks as though the plants on that furthest back hillside where all the trees are burnt-- looks like that vegetation's doing really well."" | ""I just had to look for regrowth and I'd see signs of seedlings and we'd see more bugs in the water and stuff like that. And just by starting to look down close at the land, you didn't get as overwhelmed with the change and the loss of forest. And you realize, there's still a lot of stuff. And when you look down and you see scat and tracks and other things and so you still see, this is live land. And you had to keep telling yourself, 'This is a natural cycle.'"""
Values of Human and Environmental Changes,Impermanence,1% of coded references to values of human-environmental change,1%,,"“...the wilderness is not stable, the wilderness is not unchanging. That by its very nature, it's dynamic and changes constantly. It doesn't necessarily return to the same setpoints, whether it's from fire or animal populations. Wilderness is not this steady state at all.” | ""And it's cool to see that that landscape shouldn't have permanence. There shouldn't be that sense of permanence with that human landscape there, that it's in a ruined state and it's transitioned over time."""
Values of Human and Environmental Changes,Resilience of the Landscape,3% of coded references to values of human-environmental change,3%,,
Values of Human and Environmental Changes,Developing an Understanding of Change,9% of coded references to values of human-environmental change,9%,,
Values of Human and Environmental Changes,Accepting Change,1% of coded references to values of human-environmental change,1%,,
