objectid,filename,image_thumb,image_small,object_download,filename_original,compare_id,repeat,title,creator,date,date_text,location,latitude,longitude,description,subject,source,rights,format
fcrnrw_006a,fcrnrw_006a.jpg,/objects/thumbs/fcrnrw_006a_th.jpg,/objects/small/fcrnrw_006a_sm.jpg,/objects/fcrnrw_006a.jpg,DSC_0852.JPG,fcrnrw_006,2300.0159_Don Wilson_at entrance to Primitive area_Smith Creek_1955.jpg,The Big Creek/Smith Creek trailhead,Micaela Petrini,2019-07-10,2019-07-10,"Payette National Forest, ID",45.1534,-115.3027,,Smith Creek; Big Creek; trailhead; wilderness access; Frank Church-River of No Return Wilderness; Payette National Forest,,,image/jpeg
fcrnrw_006b,fcrnrw_006b.jpg,/objects/thumbs/fcrnrw_006b_th.jpg,/objects/small/fcrnrw_006b_sm.jpg,/objects/fcrnrw_006b.jpg,2300.0159_Don Wilson_at entrance to Primitive area_Smith Creek_1955.jpg,fcrnrw_006,,Don Wilson at the Idaho Primitive Area/Smith Creek trailhead,Creator Unknown,1955,1955,"Payette National Forest, ID",45.1534,-115.3027,,Don Wilson; Idaho Primitive Area; Smith Creek; trailhead; wilderness access; Idaho Primitive Area; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_007a,fcrnrw_007a.jpg,/objects/thumbs/fcrnrw_007a_th.jpg,/objects/small/fcrnrw_007a_sm.jpg,/objects/fcrnrw_007a.jpg,DSC_0858.JPG,fcrnrw_007,AERO_00135_11.jpg,View of McFadden Mountain from the southern end of the Big Creek airstrip,Micaela Petrini,2019-07-10,2019-07-10,"Payette National Forest, ID",45.128,-115.3237,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_007b,fcrnrw_007b.jpg,/objects/thumbs/fcrnrw_007b_th.jpg,/objects/small/fcrnrw_007b_sm.jpg,/objects/fcrnrw_007b.jpg,AERO_00135_11.jpg,fcrnrw_007,,View of McFadden Mountain from the southern end of the Big Creek airstrip,Creator Unknown,1958,1958; 1959; 1960; 1961; 1962,"Payette National Forest, ID",45.128,-115.3237,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,Idaho Transportation Department; Idaho State Archives,,image/jpeg
fcrnrw_008a,fcrnrw_008a.jpg,/objects/thumbs/fcrnrw_008a_th.jpg,/objects/small/fcrnrw_008a_sm.jpg,/objects/fcrnrw_008a.jpg,DSC_0277.JPG,fcrnrw_008,AERO_00135_1.jpg,View of McFadden Mountain from the southern end of the Big Creek airstrip,Micaela Petrini,2019-07-19,2019-07-19,"Payette National Forest, ID",45.1282,-115.3234,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_008b,fcrnrw_008b.jpg,/objects/thumbs/fcrnrw_008b_th.jpg,/objects/small/fcrnrw_008b_sm.jpg,/objects/fcrnrw_008b.jpg,AERO_00135_1.jpg,fcrnrw_008,,View of McFadden Mountain from the southern end of the Big Creek airstrip,Creator Unknown,1958,1958; 1959; 1960; 1961; 1962,"Payette National Forest, ID",45.1282,-115.3234,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,Idaho Transportation Department; Idaho State Archives,,image/jpeg
fcrnrw_009a,fcrnrw_009a.jpg,/objects/thumbs/fcrnrw_009a_th.jpg,/objects/small/fcrnrw_009a_sm.jpg,/objects/fcrnrw_009a.jpg,DSC_0294.JPG,fcrnrw_009,AERO_00135_12.jpg,View of McFadden Mountain from the southern end of the Big Creek airstrip,Micaela Petrini,2019-07-19,2019-07-19,"Payette National Forest, ID",45.1282,-115.3236,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_009b,fcrnrw_009b.jpg,/objects/thumbs/fcrnrw_009b_th.jpg,/objects/small/fcrnrw_009b_sm.jpg,/objects/fcrnrw_009b.jpg,AERO_00135_12.jpg,fcrnrw_009,,View of McFadden Mountain from the southern end of the Big Creek airstrip,Creator Unknown,1958,1958; 1959; 1960; 1961; 1962,"Payette National Forest, ID",45.1282,-115.3236,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,Idaho Transportation Department; Idaho State Archives,,image/jpeg
fcrnrw_010a,fcrnrw_010a.jpg,/objects/thumbs/fcrnrw_010a_th.jpg,/objects/small/fcrnrw_010a_sm.jpg,/objects/fcrnrw_010a.jpg,DSC_0319.JPG,fcrnrw_010,AERO_00135_13.jpg,View of McFadden Mountain from the southern end of the Big Creek airstrip,Micaela Petrini,2019-07-19,2019-07-19,"Payette National Forest, ID",45.1279,-115.3238,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_010b,fcrnrw_010b.jpg,/objects/thumbs/fcrnrw_010b_th.jpg,/objects/small/fcrnrw_010b_sm.jpg,/objects/fcrnrw_010b.jpg,AERO_00135_13.jpg,fcrnrw_010,,View of McFadden Mountain from the southern end of the Big Creek airstrip,Creator Unknown,1958,1958; 1959; 1960; 1961; 1962,"Payette National Forest, ID",45.1279,-115.3238,,McFadden Mountain; Big Creek airstrip; aviation; backcountry aviation; Big Creek Forest Service Work Station; Krassel Ranger District; Payette National Forest,Idaho Transportation Department; Idaho State Archives,,image/jpeg
fcrnrw_011a,fcrnrw_011a.jpg,/objects/thumbs/fcrnrw_011a_th.jpg,/objects/small/fcrnrw_011a_sm.jpg,/objects/fcrnrw_011a.jpg,DSC_0117.JPG,fcrnrw_011,AERO_00135_2.jpg,View of Goat Mountain from the northern end of the Big Creek airstrip,Micaela Petrini,2019-07-19,2019-07-19,"Payette National Forest, ID",45.1361,-115.3186,,Goat Mountain; Big Creek airstrip; aviation; backcountry aviation; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_011b,fcrnrw_011b.jpg,/objects/thumbs/fcrnrw_011b_th.jpg,/objects/small/fcrnrw_011b_sm.jpg,/objects/fcrnrw_011b.jpg,AERO_00135_2.jpg,fcrnrw_011,,"Work on the northern end of the Big Creek airstrip, Goat Mountain in view",Creator Unknown,1958,1958; 1959; 1960; 1961; 1962,"Payette National Forest, ID",45.1361,-115.3186,,Goat Mountain; Big Creek airstrip; aviation; backcountry aviation; Krassel Ranger District; Payette National Forest,Idaho Transportation Department; Idaho State Archives,,image/jpeg
fcrnrw_012a,fcrnrw_012a.jpg,/objects/thumbs/fcrnrw_012a_th.jpg,/objects/small/fcrnrw_012a_sm.jpg,/objects/fcrnrw_012a.jpg,DSC_0188.JPG,fcrnrw_012,AERO_00135_5.jpg,View of Goat Mountain from the northern end of the Big Creek airstrip,Micaela Petrini,2019-07-19,2019-07-19,"Payette National Forest, ID",45.1367,-115.3181,,Goat Mountain; Big Creek airstrip; aviation; backcountry aviation; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_012b,fcrnrw_012b.jpg,/objects/thumbs/fcrnrw_012b_th.jpg,/objects/small/fcrnrw_012b_sm.jpg,/objects/fcrnrw_012b.jpg,AERO_00135_5.jpg,fcrnrw_012,,View of Goat Mountain from the northern end of the Big Creek airstrip,Creator Unknown,1958,1958; 1959; 1960; 1961; 1962,"Payette National Forest, ID",45.1367,-115.3181,,Goat Mountain; Big Creek airstrip; aviation; backcountry aviation; Krassel Ranger District; Payette National Forest,Idaho Transportation Department; Idaho State Archives,,image/jpeg
fcrnrw_013a,fcrnrw_013a.jpg,/objects/thumbs/fcrnrw_013a_th.jpg,/objects/small/fcrnrw_013a_sm.jpg,/objects/fcrnrw_013a.jpg,DSC_0268.JPG,fcrnrw_013,Big Creek Admin Site ca 1952 - Bob Dustman Collection (1).PNG,Big Creek Forest Service Work Station sign,Micaela Petrini,2019-07-19,2019-07-19,"Payette National Forest, ID",45.1295,-115.3234,,Big Creek Forest Service Work Station; sign; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_013b,fcrnrw_013b.jpg,/objects/thumbs/fcrnrw_013b_th.jpg,/objects/small/fcrnrw_013b_sm.jpg,/objects/fcrnrw_013b.jpg,Big Creek Admin Site ca 1952 - Bob Dustman Collection (1).PNG,fcrnrw_013,,Big Creek Administration Site,Bob Dustman,1952,c1952,"Payette National Forest, ID",45.1295,-115.3234,,Big Creek Forest Service Work Station; sign; Krassel Ranger District; Payette National Forest,Holm - Dustman Collection,,image/jpeg
fcrnrw_014a,fcrnrw_014a.jpg,/objects/thumbs/fcrnrw_014a_th.jpg,/objects/small/fcrnrw_014a_sm.jpg,/objects/fcrnrw_014a.jpg,DSC_1020.JPG,fcrnrw_014,Monumental Bridge - ca1953 - Bob Dustman Collection (1).PNG,View of Monumental Bridge at confluence of Big Creek and Crooked Creek,Micaela Petrini,2019-07-14,2019-07-14,"Big Creek; Crooked Creek; Frank Church-River of No Return Wilderness, ID",45.1627,-115.1288,,Monumental Bridge; Big Creek; Crooked Creek; confluence; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_014b,fcrnrw_014b.jpg,/objects/thumbs/fcrnrw_014b_th.jpg,/objects/small/fcrnrw_014b_sm.jpg,/objects/fcrnrw_014b.jpg,Monumental Bridge - ca1953 - Bob Dustman Collection (1).PNG,fcrnrw_014,,Man painting Monumental Bridge at confluence of Big Creek and Crooked Creek,Bob Dustman,1953,c1953,"Big Creek; Crooked Creek; Frank Church-River of No Return Wilderness, ID",45.1627,-115.1288,,Monumental Bridge; Big Creek; Crooked Creek; confluence; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,Holm - Dustman Collection,,image/jpeg
fcrnrw_015a,fcrnrw_015a.jpg,/objects/thumbs/fcrnrw_015a_th.jpg,/objects/small/fcrnrw_015a_sm.jpg,/objects/fcrnrw_015a.jpg,0704191113.jpg,fcrnrw_015,2800.0003 Monument On Monumental Creek Payette NF 1948.tif,Naturally-formed Monument on Monumental Creek,Clayton Christensen,2019-07-04,2019-7-4,"Monumental Creek; Frank Church-River of No Return Wilderness, ID",45.04268273,-115.1150871,,monument; Monumental Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,Clayton Christensen,,image/jpeg
fcrnrw_015b,fcrnrw_015b.jpg,/objects/thumbs/fcrnrw_015b_th.jpg,/objects/small/fcrnrw_015b_sm.jpg,/objects/fcrnrw_015b.jpg,2800.0003 Monument On Monumental Creek Payette NF 1948.tif,fcrnrw_015,,Naturally-formed Monument on Monumental Creek,Creator Unknown,1948,1948,"Monumental Creek; Frank Church-River of No Return Wilderness, ID",45.04268273,-115.1150871,,monument; Monumental Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_016a,fcrnrw_016a.jpg,/objects/thumbs/fcrnrw_016a_th.jpg,/objects/small/fcrnrw_016a_sm.jpg,/objects/fcrnrw_016a.jpg,0704191046a.jpg,fcrnrw_016,4390.0001 (363445) Idaho NF Monument on Monumental Creek 1936 or 1937.tif,Naturally-formed Monument on Monumental Creek,Clayton Christensen,,Date Unknown,"Monumental Creek; Frank Church-River of No Return Wilderness, ID",45.04268273,-115.1150871,,monument; Monumental Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_016b,fcrnrw_016b.jpg,/objects/thumbs/fcrnrw_016b_th.jpg,/objects/small/fcrnrw_016b_sm.jpg,/objects/fcrnrw_016b.jpg,4390.0001 (363445) Idaho NF Monument on Monumental Creek 1936 or 1937.tif,fcrnrw_016,,Naturally-formed Monument on Monumental Creek,Creator Unknown,1936,1936 or 1937,"Monumental Creek; Frank Church-River of No Return Wilderness, ID",45.04268273,-115.1150871,,monument; Monumental Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_017a,fcrnrw_017a.jpg,/objects/thumbs/fcrnrw_017a_th.jpg,/objects/small/fcrnrw_017a_sm.jpg,/objects/fcrnrw_017a.jpg,DSC_0674.JPG,fcrnrw_017,2300.0193_Coxey Hole_Big Creek_1955 or 1956.jpg,Looking down on Coxey Hole on Big Creek,Micaela Petrini,2019-06-26,2019-06-26,"Big Creek; Frank Church-River of No Return Wilderness, ID",45.1384,-115.0302,,Coxey Hole; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_017b,fcrnrw_017b.jpg,/objects/thumbs/fcrnrw_017b_th.jpg,/objects/small/fcrnrw_017b_sm.jpg,/objects/fcrnrw_017b.jpg,2300.0193_Coxey Hole_Big Creek_1955 or 1956.jpg,fcrnrw_017,,Looking down on Coxey Hole on Big Creek,Creator Unknown,1955,1955 or 1956,"Big Creek; Frank Church-River of No Return Wilderness, ID",45.1384,-115.0302,,Coxey Hole; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_018a,fcrnrw_018a.jpg,/objects/thumbs/fcrnrw_018a_th.jpg,/objects/small/fcrnrw_018a_sm.jpg,/objects/fcrnrw_018a.jpg,DSC_0904.JPG,fcrnrw_018,1680.0261_Crescent Meadows_Big Game Trip_Homer Martin_1945 (2).jpg,Crescent Meadows,Micaela Petrini,2019-06-27,2019-06-27,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.188,-115.0373,,fire; Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_018b,fcrnrw_018b.jpg,/objects/thumbs/fcrnrw_018b_th.jpg,/objects/small/fcrnrw_018b_sm.jpg,/objects/fcrnrw_018b.jpg,1680.0261_Crescent Meadows_Big Game Trip_Homer Martin_1945 (2).jpg,fcrnrw_018,,Homer Martin on a big game hunting trip at Crescent Meadows,Creator Unknown,1945,1945,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.188,-115.0373,,big game; hunting; Homer Martin; Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_019a,fcrnrw_019a.jpg,/objects/thumbs/fcrnrw_019a_th.jpg,/objects/small/fcrnrw_019a_sm.jpg,/objects/fcrnrw_019a.jpg,DSC_0840.JPG,fcrnrw_019,1680.0261_Crescent Meadows_Big Game Trip_Dan LeVan_1945 (5).jpg,Crescent Meadows,Micaela Petrini,2019-06-26,2019-06-26,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.1881,-115.0368,,fire; Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_019b,fcrnrw_019b.jpg,/objects/thumbs/fcrnrw_019b_th.jpg,/objects/small/fcrnrw_019b_sm.jpg,/objects/fcrnrw_019b.jpg,1680.0261_Crescent Meadows_Big Game Trip_Dan LeVan_1945 (5).jpg,fcrnrw_019,,Dan LeVan on a big game hunting trip at Crescent Meadows,Creator Unknown,1945,1945,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.1881,-115.0368,,big game; hunting; Dan LeVan; Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_020a,fcrnrw_020a.jpg,/objects/thumbs/fcrnrw_020a_th.jpg,/objects/small/fcrnrw_020a_sm.jpg,/objects/fcrnrw_020a.jpg,DSC_0795.JPG,fcrnrw_020,1680.0261_Crescent Meadows_Big Game Trip_Big Creek Ranger District_1945 (10).jpg,Crescent Meadows,Micaela Petrini,2019-06-26,2019-06-26,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.1882,-115.0368,,fire; Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_020b,fcrnrw_020b.jpg,/objects/thumbs/fcrnrw_020b_th.jpg,/objects/small/fcrnrw_020b_sm.jpg,/objects/fcrnrw_020b.jpg,1680.0261_Crescent Meadows_Big Game Trip_Big Creek Ranger District_1945 (10).jpg,fcrnrw_020,,Pack string on a big game hunting trip at Crescent Meadows,Creator Unknown,1945,1945,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.1882,-115.0368,,big game; hunting; pack string; Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_021a,fcrnrw_021a.jpg,/objects/thumbs/fcrnrw_021a_th.jpg,/objects/small/fcrnrw_021a_sm.jpg,/objects/fcrnrw_021a.jpg,DSC_0894.JPG,fcrnrw_021,1680.0261_Crescent Meadows_Big Game Hunt Trip_Farrel & Martin eating lunch (7).jpg,Crescent Meadows,Micaela Petrini,2019-06-27,2019-06-27,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.1882,-115.0368,,Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_021b,fcrnrw_021b.jpg,/objects/thumbs/fcrnrw_021b_th.jpg,/objects/small/fcrnrw_021b_sm.jpg,/objects/fcrnrw_021b.jpg,1680.0261_Crescent Meadows_Big Game Hunt Trip_Farrel & Martin eating lunch (7).jpg,fcrnrw_021,,Farrel and Martin eating lunch at Crescent Meadows during the big game hunting trip,Creator Unknown,1945,1945,"Crescent Meadows; Frank Church-River of No Return Wilderness, ID",45.1882,-115.0368,,big game; hunting; Farrel; Homer Martin; Crescent Meadows; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_022a,fcrnrw_022a.jpg,/objects/thumbs/fcrnrw_022a_th.jpg,/objects/small/fcrnrw_022a_sm.jpg,/objects/fcrnrw_022a.jpg,DSC_0818.JPG,fcrnrw_022,MA 2011-03 Wallace Family Records 08- UI Special Collections.jpg,"Acorn Creek, Big Creek",Micaela Petrini,2019-07-09,2019-07-09,"Acorn Creek; Big Creek; Frank Church-River of No Return Wilderness, ID",45.15,-115.077,,Acorn Creek; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_022b,fcrnrw_022b.jpg,/objects/thumbs/fcrnrw_022b_th.jpg,/objects/small/fcrnrw_022b_sm.jpg,/objects/fcrnrw_022b.jpg,MA 2011-03 Wallace Family Records 08- UI Special Collections.jpg,fcrnrw_022,,View of Dewey Moore's ranch at Acorn Creek,Creator Unknown,,Date Unknown,"Acorn Creek; Big Creek; Frank Church-River of No Return Wilderness, ID",45.15,-115.077,,Dewey Moore; ranch; Acorn Creek; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Special Collections and Archives, University of Idaho Library",,image/jpeg
fcrnrw_023a,fcrnrw_023a.jpg,/objects/thumbs/fcrnrw_023a_th.jpg,/objects/small/fcrnrw_023a_sm.jpg,/objects/fcrnrw_023a.jpg,DSC_0756.JPG,fcrnrw_023,2300.0143_Cave Creek_Mouth of Cave Creek_1955.jpg,Cave at mouth of Cave Creek,Micaela Petrini,2019-07-08,2019-07-08,"Cave Creek; Frank Church-River of No Return Wilderness, ID",45.132,-114.9561,,cave; Cave Creek; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_023b,fcrnrw_023b.jpg,/objects/thumbs/fcrnrw_023b_th.jpg,/objects/small/fcrnrw_023b_sm.jpg,/objects/fcrnrw_023b.jpg,2300.0143_Cave Creek_Mouth of Cave Creek_1955.jpg,fcrnrw_023,,Cave at mouth of Cave Creek,Creator Unknown,1955,1955,"Cave Creek; Frank Church-River of No Return Wilderness, ID",45.132,-114.9561,,Forest Service stock; cave; Cave Creek; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_024a,fcrnrw_024a.jpg,/objects/thumbs/fcrnrw_024a_th.jpg,/objects/small/fcrnrw_024a_sm.jpg,/objects/fcrnrw_024a.jpg,DSC_0558.JPG,fcrnrw_024,09.jpg,Looking west at Big Creek and the Cabin Creek meadows,Micaela Petrini,2019-07-08,2019-07-08,"Cabin Creek; Big Creek; Frank Church-River of No Return Wilderness, ID",45.1294,-114.9347,,Cabin Creek; Cabin Creek meadows; riparian; riparian vegetation; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
fcrnrw_024b,fcrnrw_024b.jpg,/objects/thumbs/fcrnrw_024b_th.jpg,/objects/small/fcrnrw_024b_sm.jpg,/objects/fcrnrw_024b.jpg,09.jpg,fcrnrw_024,,Looking west at Big Creek and the Cabin Creek meadows,Creator Unknown,,Date Unknown,"Cabin Creek; Big Creek; Frank Church-River of No Return Wilderness, ID",45.1294,-114.9347,,Cabin Creek; Cabin Creek meadows; riparian; riparian vegetation; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,"Payette National Forest Heritage Program, Payette National Forest",,image/jpeg
fcrnrw_025a,fcrnrw_025a.jpg,/objects/thumbs/fcrnrw_025a_th.jpg,/objects/small/fcrnrw_025a_sm.jpg,/objects/fcrnrw_025a.jpg,DSC_0024.JPG,fcrnrw_025,2300.0150_Hay Meadows at Cabin Creek_Ervin Bobo_ 1955.jpg,Looking east at Big Creek and Cabin Creek meadows,Micaela Petrini,2019-06-12,2019-06-12,"Cabin Creek; Big Creek; Frank Church-River of No Return Wilderness, ID",45.132,-114.945,,Cabin Creek; Cabin Creek meadows; Taylor Wilderness Research Station; riparian; riparian vegetation; Big Creek; Frank Church River of No Return Wilderness; Krassel Ranger District; Payette National Forest,,,image/jpeg
